dataset_id,window_id,phase,parameter,output,parameter_base_value,parameter_step,output_base_value,fd_grad,ift_or_ad_grad,abs_error,rel_error,residual_max_abs,status,source_commit
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,coal_mass_flow,H2_mol_s,20.14213931116375,0.02014213931116375,632.8085116601351,35.16344061568499,35.16342710946154,1.3506223453418897e-05,3.840984618380693e-07,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,coal_mass_flow,CO2_mol_s,20.14213931116375,0.02014213931116375,211.76234922326006,-4.481921318596204,-4.482016717647101,9.53990508962832e-05,2.1284849411798783e-05,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,WGS_CatalyticFactor,CO_mol_s,0.2,0.0002,1497.3449877280405,-412.2074287158739,-412.2074309214712,2.205597297688655e-06,5.350697566897669e-09,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,WGS_CatalyticFactor,H2_mol_s,0.2,0.0002,633.5344807365447,352.8026661447825,352.8025116847275,0.00015446005500052706,4.3780863871686284e-07,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,WGS_CatalyticFactor,CO2_mol_s,0.2,0.0002,224.15086391238523,341.48088882936634,341.4809454830297,5.6653663364159e-05,1.659057821923902e-07,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,oxygen_flow,CO_mol_s,499.14371796397086,0.4991437179639709,1497.3449877280405,0.5467989152029872,0.5467667659868307,3.2149216156462934e-05,5.87953181006737e-05,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,oxygen_flow,H2_mol_s,499.14371796397086,0.4991437179639709,633.5344807365447,-0.08912641657501816,-0.08918384630912979,5.7429734111630326e-05,0.00064394771573954,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,oxygen_flow,CO2_mol_s,499.14371796397086,0.4991437179639709,224.15086391238523,-0.11270962213773966,-0.11268772337890048,2.1898758839178356e-05,0.0001942936053180661,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,coal_mass_flow,CO_mol_s,19.718361100605033,0.019718361100605035,1497.3449877280405,56.4684328920419,56.46821032928865,0.00022256275325105435,3.941365854380211e-06,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,coal_mass_flow,H2_mol_s,19.718361100605033,0.019718361100605035,633.5344807365447,30.234688545623484,30.234841386319786,0.00015284069630183694,5.055118178029935e-06,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,coal_mass_flow,CO2_mol_s,19.718361100605033,0.019718361100605035,224.15086391238523,2.836776439596153,2.836774515256653,1.924339500192218e-06,6.783543014994052e-07,20.056253699413265,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
