dataset_id,window_id,phase,split_role,configuration,N_cells,selection_reason,o_c_ratio,cell0_cost,cell0_max_abs_scaled_residual,cell0_max_abs_unscaled_residual,cell0_dominant_scaled_name,cell0_dominant_unscaled_name,poor_convergence_count,execution_status,residual_quality_status,wall_time_s,source_commit
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,test,alt_cell0_init,1,global_median_oc,0.9277160365942164,0.013925062936284618,0.12548349206560552,4032.326868325472,gas_H2,energy,1,completed,poor,3.1187508379999827,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,test,tighter_tol,1,global_median_oc,0.9277160365942164,0.013925062936276135,0.12548351806839164,4032.31539028883,gas_H2,energy,1,completed,poor,6.066223906999994,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__shift_evening_handover_2022-10-11__W001,4,test,reference,1,max_cell0_cost,0.8993278999171395,0.015841905685236544,0.133580226463013,4331.434801310301,gas_H2,energy,1,completed,poor,2.731153586000005,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__shift_evening_handover_2022-10-11__W001,4,test,refined_first_cv,3,max_cell0_cost,0.8993278999171395,0.02197566223941362,0.1523644496310293,5883.615514993668,gas_H2,energy,1,completed,poor,3.2504495919999954,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__shift_evening_handover_2022-10-11__W001,4,test,alt_cell0_init,1,max_cell0_cost,0.8993278999171395,0.015841905685227416,0.1335802921259546,4331.419811308384,gas_H2,energy,1,completed,poor,3.2311409579999975,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__shift_evening_handover_2022-10-11__W001,4,test,tighter_tol,1,max_cell0_cost,0.8993278999171395,0.01584190568522586,0.13358026928065325,4331.425523877144,gas_H2,energy,1,completed,poor,5.736425372000014,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-11N_009__W002,4,test,reference,1,phase4_median_oc,0.9154438248009292,0.014773703756125562,0.12913358717751858,4199.707809597254,gas_H2,energy,1,completed,poor,2.5703829139999925,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-11N_009__W002,4,test,refined_first_cv,3,phase4_median_oc,0.9154438248009292,0.02073606403422975,0.1476632178230699,5735.06663736701,gas_H2,energy,1,completed,poor,2.3087019920000103,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-11N_009__W002,4,test,alt_cell0_init,1,phase4_median_oc,0.9154438248009292,0.014773703756111747,0.1291336790973147,4199.685758769512,gas_H2,energy,1,completed,poor,4.001491821000002,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-11N_009__W002,4,test,tighter_tol,1,phase4_median_oc,0.9154438248009292,0.014773703756105717,0.1291336633572746,4199.691124230623,gas_H2,energy,1,completed,poor,10.918020215000013,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
