dataset_id,window_id,phase,split_role,method,configuration,N_cells,target,target_value,predicted_value,residual,alpha_wgs,poor_convergence_count,cell0_cost,cell0_max_abs_scaled_residual,cell0_max_abs_unscaled_residual,execution_status,residual_quality_status,source_commit,reference_predicted_value,delta_vs_reference,relative_delta
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_evening_handover_2022-09-28__W001,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.73646282133333,79.0814290978812,17.344966276547865,1.0,1,0.006588530475282577,0.08908355386194193,2606.1756456643343,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.0814290978812,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_evening_handover_2022-09-28__W001,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.166503622666667,1.3057153356216831e-14,-28.166503622666653,1.0,1,0.006588530475282577,0.08908355386194193,2606.1756456643343,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,1.3057153356216831e-14,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_evening_handover_2022-09-28__W001,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.365316044399998,17.99349572814893,8.62817968374893,1.0,1,0.006588530475282577,0.08908355386194193,2606.1756456643343,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,17.99349572814893,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_evening_handover_2022-09-28__W001,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4562450446745795,1.6511023517361635e-16,-0.4562450446745793,1.0,1,0.006588530475282577,0.08908355386194193,2606.1756456643343,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,1.6511023517361635e-16,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_evening_handover_2022-09-28__W001,1,train,fixed_physics,reference,1,dry_syngas_flow,121867.2214462184,54553.339577383624,-67313.88186883478,1.0,1,0.006588530475282577,0.08908355386194193,2606.1756456643343,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,54553.339577383624,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W001,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.98462266400001,79.10226005312376,17.11763738912375,1.0,1,0.006548771696040165,0.08882187515994475,2603.144910007715,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.10226005312376,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W001,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.13315692,1.0669971230375263e-14,-28.13315691999999,1.0,1,0.006548771696040165,0.08882187515994475,2603.144910007715,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,1.0669971230375263e-14,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W001,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.163403144533332,17.981071271260333,8.817668126727002,1.0,1,0.006548771696040165,0.08882187515994475,2603.144910007715,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,17.981071271260333,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W001,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4538802368168525,1.3488832333247482e-16,-0.4538802368168524,1.0,1,0.006548771696040165,0.08882187515994475,2603.144910007715,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,1.3488832333247482e-16,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W001,1,train,fixed_physics,reference,1,dry_syngas_flow,122651.20809922733,54704.573183312794,-67946.63491591453,1.0,1,0.006548771696040165,0.08882187515994475,2603.144910007715,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,54704.573183312794,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W002,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.85881827333332,79.23487538857668,17.376057115243363,1.0,1,0.0062992471764131515,0.0871603053756196,2558.3678280711174,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.23487538857668,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W002,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.107991872000003,2.6346433403035586e-17,-28.107991872000003,1.0,1,0.0062992471764131515,0.0871603053756196,2558.3678280711174,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,2.6346433403035586e-17,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W002,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.296875770533331,17.901761422189814,8.604885651656483,1.0,1,0.0062992471764131515,0.0871603053756196,2558.3678280711174,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,17.901761422189814,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W002,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4543918577567805,3.3251056777498206e-19,-0.4543918577567805,1.0,1,0.0062992471764131515,0.0871603053756196,2558.3678280711174,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,3.3251056777498206e-19,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W002,1,train,fixed_physics,reference,1,dry_syngas_flow,123123.78011046618,55135.087383751845,-67988.69272671433,1.0,1,0.0062992471764131515,0.0871603053756196,2558.3678280711174,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,55135.087383751845,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W003,1,train,fixed_physics,reference,1,CO_dry_vol_pct,62.12407606799998,79.28297608140973,17.15890001340975,1.0,1,0.006209499270998708,0.08655470244209407,2542.5474545508623,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.28297608140973,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W003,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.305427888,2.3141580241210797e-18,-28.305427888,1.0,1,0.006209499270998708,0.08655470244209407,2542.5474545508623,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,2.3141580241210797e-18,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W003,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,8.821584091466667,17.872946885871173,9.051362794404506,1.0,1,0.006209499270998708,0.08655470244209407,2542.5474545508623,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,17.872946885871173,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W003,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4556347111538636,2.91885867370171e-20,-0.4556347111538636,1.0,1,0.006209499270998708,0.08655470244209407,2542.5474545508623,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,2.91885867370171e-20,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W003,1,train,fixed_physics,reference,1,dry_syngas_flow,122621.6420082224,55304.30766340001,-67317.33434482239,1.0,1,0.006209499270998708,0.08655470244209407,2542.5474545508623,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,55304.30766340001,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W004,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.73650178800001,79.29992214300835,17.563420355008333,1.0,1,0.006178582627480123,0.0863446682096321,2527.8620100468397,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.29992214300835,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W004,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.077803002666663,2.0942469362652514e-14,-28.07780300266664,1.0,1,0.006178582627480123,0.0863446682096321,2527.8620100468397,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,2.0942469362652514e-14,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W004,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.484465930266666,17.862723054564935,8.378257124298269,1.0,1,0.006178582627480123,0.0863446682096321,2527.8620100468397,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,17.862723054564935,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W004,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4548055773543963,2.6409192842440833e-16,-0.45480557735439603,1.0,1,0.006178582627480123,0.0863446682096321,2527.8620100468397,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,2.6409192842440833e-16,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W004,1,train,fixed_physics,reference,1,dry_syngas_flow,122116.8031811882,55162.880961713505,-66953.92221947468,1.0,1,0.006178582627480123,0.0863446682096321,2527.8620100468397,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,55162.880961713505,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W005,1,train,fixed_physics,reference,1,CO_dry_vol_pct,62.078165766666665,79.42360186881608,17.345436102149414,1.0,1,0.005953309974899635,0.08479916144267084,2479.3616653084755,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.42360186881608,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W005,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.235774562666663,3.305050777768681e-13,-28.235774562666332,1.0,1,0.005953309974899635,0.08479916144267084,2479.3616653084755,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,3.305050777768681e-13,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W005,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,8.93234274,17.788158406809128,8.855815666809129,1.0,1,0.005953309974899635,0.08479916144267084,2479.3616653084755,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,17.788158406809128,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W005,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4548484172816991,4.161295509145545e-15,-0.45484841728169495,1.0,1,0.005953309974899635,0.08479916144267084,2479.3616653084755,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,4.161295509145545e-15,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W005,1,train,fixed_physics,reference,1,dry_syngas_flow,122662.90779892437,55416.8669151045,-67246.04088381986,1.0,1,0.005953309974899635,0.08479916144267084,2479.3616653084755,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,55416.8669151045,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W006,1,train,fixed_physics,reference,1,CO_dry_vol_pct,62.18546928,79.39836082926675,17.21289154926675,1.0,1,0.005998772575303576,0.08511357519380594,2491.7559030652046,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.39836082926675,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W006,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.34067974133333,2.7044481732708074e-16,-28.34067974133333,1.0,1,0.005998772575303576,0.08511357519380594,2491.7559030652046,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,2.7044481732708074e-16,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W006,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,8.715642940266667,17.803420266698616,9.087777326431949,1.0,1,0.005998772575303576,0.08511357519380594,2491.7559030652046,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,17.803420266698616,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W006,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4557545783051447,3.4061763303732213e-18,-0.4557545783051447,1.0,1,0.005998772575303576,0.08511357519380594,2491.7559030652046,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,3.4061763303732213e-18,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W006,1,train,fixed_physics,reference,1,dry_syngas_flow,123128.82687673732,55421.012588514044,-67707.81428822328,1.0,1,0.005998772575303576,0.08511357519380594,2491.7559030652046,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,55421.012588514044,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28N_009__W007,1,train,fixed_physics,reference,1,CO_dry_vol_pct,62.063059188,79.36469414845332,17.301634960453327,1.0,1,0.006059653795528817,0.08553270371498566,2507.9192173331976,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.36469414845332,0.0,0.0
